"fch","pr01.0pan","se02.0mrn","se03.0mrn","se04.0mrn","se05.0mrn","se06.0mrn","se07.0mrn","in08.0mrn","se08.1mrn","se09.0mrn","se10.0pan","se11.0pan","se12.0pri","se13.0pes","se14.0pt","se15.0mc","se16.0prd","in17.0mrn","in18.0mrn","in19.0mrn","in20.0mrn","in21.0mrn","in22.0mrn","in23.0mrn","in24.0mrn","in25.0mrn","in26.0mrn","in27.0mrn","in28.0mrn","in29.0mrn","in30.0mrn","in31.0pes","in31.1mrn","in32.0pan","in33.0pan","in34.0pan","in35.0pri","in36.0pri","in37.0pt","in38.0mc","in39.0pvem","in39.1pri","junta.mrn","junta.jhh"
2018-09-01,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-02,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-03,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-04,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-05,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-06,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-07,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-08,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-09,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-10,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-11,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-12,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-13,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-14,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-15,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-16,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-17,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-18,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-19,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-20,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-21,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-22,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-23,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-24,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-25,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
