"fch","pr01.0pri","se02.0mrn","se03.0mrn","se04.0mrn","se05.0mrn","se06.0mrn","se07.0mrn","se08.0pan","se09.0pan","se10.0pri","se11.0pes","se11.1pt","se12.0pt","se13.0mc","se14.0prd","in15.0mrn","in16.0mrn","in17.0mrn","in18.0mrn","in19.0mrn","in20.0mrn","in21.0mrn","in22.0mrn","in23.0mrn","in24.0mrn","se24.1mrn","in25.0mrn","in26.0mrn","in27.0pan","in28.0pan","in29.0pan","in30.0pri","in31.0pes","in32.0pt","in33.0mc","junta.mrn","junta.jhh"
2018-09-01,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-02,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-03,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-04,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-05,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-06,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-07,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-08,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-09,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-10,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-11,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-12,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-13,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-14,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-15,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-16,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-17,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-18,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-19,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-20,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-21,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-22,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-23,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-24,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-25,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-26,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-27,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-28,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-29,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-30,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-01,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-02,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-03,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-04,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-05,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-06,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-07,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-08,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-09,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","vac","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
