"fch","pr01.0mrn","se02.0mrn","se03.0mrn","se04.0mrn","se05.0mrn","se06.0mrn","se07.0mrn","se08.0mrn","se09.0mrn","in10.0mrn","se11.0pes","se11.1mrn","se12.0pan","se13.0pan","se14.0pan","se15.0pri","se16.0pt","se17.0mc","se18.0pvem","se19.0pvem","in20.0mrn","in21.0mrn","in22.0mrn","in23.0mrn","in24.0mrn","in25.0mrn","in26.0mrn","in27.0mrn","in28.0mrn","in29.0mrn","in30.0mrn","in31.0mrn","in32.0mrn","in33.0mrn","in34.0mrn","in35.0mrn","in36.0mrn","in37.0mrn","in38.0mrn","in39.0pan","in40.0indep","in41.0pan","in42.0pan","in43.0pri","in44.0pri","in45.0pri","in46.0pes","in47.0pes","in48.0pt","in49.0pt","in50.0mc","in51.0mc","in52.0prd","in53.0pan","in54.0pvem","junta.mrn","junta.jhh"
2018-09-01,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-02,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-03,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-04,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-05,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-06,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-07,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-08,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-09,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-10,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
