"fch","pr01.0pri","se02.0mrn","se03.0mrn","se04.0mrn","in04.1mrn","se05.0mrn","se06.0pan","se07.0pri","se07.1pes","se08.0pt","se08.1pan","in09.0mrn","in10.0mrn","in11.0mrn","in12.0mrn","in13.0mrn","in14.0mrn","in15.0pan","in16.0pan","in17.0pan","in17.1mc","in18.0pes","in19.0pes","in20.0ver","in20.1pt","junta.mrn","junta.jhh"
2018-09-01,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-02,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-03,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-04,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-05,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-06,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-07,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-08,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-09,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-10,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-11,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-12,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-13,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-14,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-15,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-16,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-17,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-18,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-19,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-20,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-21,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-22,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-23,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-24,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-25,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-26,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-27,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-28,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-29,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-30,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-01,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-02,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-03,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-04,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-05,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-06,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-07,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-08,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-09,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","vac","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","ELIZONDO.GAR","FARIAS","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","vac","vac","0.33","0.5"
2018-10-10,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","vac","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","ELIZONDO.GAR","FARIAS","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","vac","vac","0.33","0.5"
2018-10-11,"MOREIRA","ANDAZOLA","LOPEZ.M","MINOR","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","ELIZONDO.GAR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","vac","vac","0.5","0.62"
2018-10-12,"MOREIRA","ANDAZOLA","LOPEZ.M","MINOR","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","ELIZONDO.GAR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","vac","vac","0.5","0.62"
2018-10-13,"MOREIRA","ANDAZOLA","LOPEZ.M","MINOR","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","ELIZONDO.GAR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","vac","vac","0.5","0.62"
2018-10-14,"MOREIRA","ANDAZOLA","LOPEZ.M","MINOR","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","ELIZONDO.GAR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","vac","vac","0.5","0.62"
2018-10-15,"MOREIRA","ANDAZOLA","LOPEZ.M","MINOR","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","ELIZONDO.GAR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","vac","vac","0.5","0.62"
2018-10-16,"MOREIRA","ANDAZOLA","LOPEZ.M","MINOR","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","ELIZONDO.GAR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.5","0.62"
2018-10-17,"MOREIRA","ANDAZOLA","LOPEZ.M","MINOR","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","ELIZONDO.GAR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.5","0.62"
2018-10-18,"MOREIRA","ANDAZOLA","LOPEZ.M","MINOR","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","ELIZONDO.GAR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.5","0.62"
2018-10-19,"MOREIRA","ANDAZOLA","LOPEZ.M","MINOR","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","ELIZONDO.GAR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.5","0.62"
2018-10-20,"MOREIRA","ANDAZOLA","LOPEZ.M","MINOR","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","ELIZONDO.GAR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.5","0.62"
2018-10-21,"MOREIRA","ANDAZOLA","LOPEZ.M","MINOR","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","ELIZONDO.GAR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.5","0.62"
2018-10-22,"MOREIRA","ANDAZOLA","LOPEZ.M","MINOR","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","ELIZONDO.GAR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.5","0.62"
