"fch","pr01.0mrn","se02.0mrn","se03.0mrn","se04.0mrn","se05.0pan","se06.0pri","in07.0mrn","in08.0mrn","in09.0mrn","in10.0mrn","in11.0mrn","se12.0mrn","in13.0mrn","in13.1pri","in14.0mrn","se14.1mrn","in15.0mrn","in16.0mrn","in17.0pan","in18.0pan","in19.0pri","in20.0pes","in20.1mrn","in21.0pes","in21.1pt","in22.0pt","in23.0mc","in24.0mc","in25.0prd","in26.0pt","in27.0pt","in28.0pan","junta.mrn","junta.jhh"
2018-09-01,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-02,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-03,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-04,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-05,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-06,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-07,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-08,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-09,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-10,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-11,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-12,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-13,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-14,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-15,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-16,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-17,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-18,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-19,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-20,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-21,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-22,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-23,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-24,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-25,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-26,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-27,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-28,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-29,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-30,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-01,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-02,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-03,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-04,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-05,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-06,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-07,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-08,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-09,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","vac","vac","vac","vac","0.71","0.71"
2018-10-10,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","vac","vac","vac","vac","0.71","0.71"
2018-10-11,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","vac","vac","vac","0.71","0.71"
2018-10-12,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","vac","vac","vac","0.71","0.71"
2018-10-13,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","vac","vac","vac","0.71","0.71"
2018-10-14,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","vac","vac","vac","0.71","0.71"
2018-10-15,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","vac","vac","vac","0.71","0.71"
2018-10-16,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","vac","vac","vac","0.71","0.71"
