"fch","pr01.0mrn","se02.0mrn","se03.0mrn","se04.0mrn","se05.0mrn","se06.0mrn","se07.0pan","se08.0pri","se09.0pes","se09.1mrn","se10.0mc","in11.0mrn","in12.0mrn","in13.0mrn","in14.0mrn","in15.0mrn","in16.0mrn","in17.0mrn","in18.0mrn","in19.0mrn","in20.0pan","in21.0pan","in22.0pan","in23.0pan","in23.1mrn","in24.0pt","in25.0pri","se25.1pri","in26.0pri","in27.0pes","in29.0mc","in30.0prd","junta.mrn","junta.jhh"
2018-09-01,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-02,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-03,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-04,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-05,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-06,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-07,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-08,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-09,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-10,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-11,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-12,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-13,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-14,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-15,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-16,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-17,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-18,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-19,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-20,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-21,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-22,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-23,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-24,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-25,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-26,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-27,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-28,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-29,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-30,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-01,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-02,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-03,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-04,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-05,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-06,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-07,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-08,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-09,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-10-10,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-10-11,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-10-12,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-10-13,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-10-14,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-10-15,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
